# Restored Portuguese Translations

After comparing the current pt.json file with the backup pt.json.backup file, I've identified the following translations that were accidentally removed and need to be restored:

## Keys to Restore:

28. "settings.dueReminders.timezone" - "Fuso horário"
29. "settings.dueReminders.timezone.placeholder" - "ex. Africa/Maputo"
30. "settings.dueReminders.timezone.helper" - "Fuso horário para calcular datas de vencimento"
31. "settings.dueReminders.hours" - "Enviar lembretes de vencimento às"
32. "settings.dueReminders.hours.helper" - "Hora do dia para enviar lembretes de vencimento"
33. "settings.dueReminders.leadDays" - "Dias de Antecedência"
34. "settings.dueReminders.leadDays.placeholder" - "ex. 3,1,0,-3"
35. "settings.dueReminders.leadDays.helper" - "Dias antes/depois da data de vencimento para enviar lembretes (negativo para em atraso)"
36. "settings.dueReminders.recipients" - "Emails dos Destinatários"
37. "settings.dueReminders.recipients.placeholder" - "email1@example.com, email2@example.com"
38. "settings.dueReminders.recipients.helper" - "Substituir emails dos clientes (separados por vírgula). Deixe vazio para usar os emails dos clientes."
39. "settings.dueReminders.bcc" - "Emails em Cópia Oculta"
40. "settings.dueReminders.bcc.placeholder" - "bcc1@example.com, bcc2@example.com"
41. "settings.dueReminders.bcc.helper" - "Destinatários em cópia oculta para todos os emails de lembrete (separados por vírgula)"
42. "settings.dueReminders.invoiceBaseUrl" - "URL Base das Faturas"
43. "settings.dueReminders.invoiceBaseUrl.placeholder" - "https://app.stockwise.app/invoices"
44. "settings.dueReminders.invoiceBaseUrl.helper" - "URL base para links das faturas (irá adicionar o código da fatura)"
45. "notifications.title" - "Notificações"
46. "notifications.noNotifications" - "Sem notificações."
47. "notifications.open" - "Abrir"
48. "notifications.realtime.connecting" - "Tempo real: a ligar…"
49. "notifications.realtime.on" - "Tempo real: ligado"
50. "notifications.showingLatest" - "A mostrar os últimos {count}"
51. "notifications.markAllRead" - "Marcar todas como lidas"
52. "notifications.dailyDigestLabel" - "Resumo diário (Receita & Custo por produto)"
53. "notifications.digestTime" - "Hora do resumo (local)"
54. "notifications.digestTime.helper" - "Formato 24 horas. Usaremos o seu fuso horário abaixo."
55. "notifications.timezone" - "Fuso horário"
56. "notifications.timezone.placeholder" - "Africa/Maputo"
57. "notifications.recipientEmails" - "Emails dos destinatários (separados por vírgula)"
58. "notifications.recipientEmails.placeholder" - "owner@company.com, manager@company.com"
59. "notifications.recipientPhones" - "Telefones dos destinatários para SMS (separados por vírgula)"
60. "notifications.recipientPhones.placeholder" - "+25884xxxxxxx, +25886xxxxxxx"
61. "notifications.recipientWhatsapp" - "Números de WhatsApp dos destinatários (separados por vírgula)"
62. "notifications.recipientWhatsapp.placeholder" - "+25884xxxxxxx"
63. "bank.date" - "Data"
64. "bank.memo" - "Observações"
65. "cash.from" - "De"
66. "cash.to" - "Até"
67. "cash.type" - "Tipo"
68. "cash.saving" - "A guardar…"
69. "movements.movementType" - "Tipo de Movimento"
70. "movements.title.bins" - "Bins"
71. "movements.title.binContents" - "Conteúdo do Bin"
72. "movements.pickBinToSee" - "Seleccione um bin para ver o stock disponível."
73. "movements.onHandBase" - "Em stock (base)"
74. "movements.avgCost" - "Custo Médio"
75. "movements.quantity" - "Quantidade"
76. "movements.newOnHand" - "Novo Em Stock"
77. "movements.preview.target" - "Destino"
78. "movements.preview.entered" - "Introduzido"
79. "movements.movementUom" - "UM do Movimento"
80. "movements.refType" - "Tipo de Ref."
81. "movements.refId" - "ID de Ref."
82. "movements.refLineId" - "ID da Linha Ref."
83. "movements.emptyBin" - "Bin vazio."
84. "movements.received" - "Entrada registada"
85. "movements.issued" - "Saída registada"
86. "movements.transferCompleted" - "Transferência concluída"
87. "movements.adjusted" - "Stock ajustado"
88. "movements.failed" - "Falha no movimento"
89. "orders.dueDate" - "Data de Vencimento"
90. "orders.download" - "Descarregar"
91. "orders.allLinesShipped" - "Todas as linhas expedidas."
92. "orders.shippedBrowser" - "Pedidos de Venda Enviados"
93. "orders.shippedBrowserDesc" - "Pesquisar, filtrar e imprimir pedidos enviados/fechados"
94. "orders.searchHint" - "N.º do pedido ou cliente"
95. "orders.from" - "De (actualizado)"
96. "orders.to" - "Até (actualizado)"
97. "orders.statuses" - "Estados"
98. "orders.noResults" - "Sem resultados"
99. "orders.rows" - "Linhas"
100. "warehouses.updated" - "Armazém actualizado"
101. "warehouses.deleted" - "Armazém eliminado"

These translations need to be restored to the pt.json file to ensure complete internationalization of the application.
